"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"25","25","","","0",""
"29","29","","","0",""
"92","92","","","0",""
"102","102","","","2","300"
"211","211","","","0",""
"215","215","","","0",""
"102","102","GO203_23_PTT_702","GO203_23_PTT_2","1",""
"102","102","GO203_23_PTT_1900","GO203_23_PTT_2","1",""
"102","102","GO203_23_PTT_814","GO203_23_PTT_4","1",""
"102","102","GO203_23_PTT_1612","GO203_23_PTT_4","1",""
"102","102","GO203_23_PTT_1294","GO203_23_PTT_8","1",""
"102","102","GO203_23_PTT_1520","GO203_23_PTT_8","1",""
"102","102","GO203_23_PTT_2064","GO203_23_PTT_18","1",""
"102","102","GO203_23_PTT_770","GO203_23_PTT_22","1",""
"102","102","GO203_23_PTT_874","GO203_23_PTT_22","1",""
"102","102","GO203_23_PTT_286","GO203_23_PTT_26","1",""
"102","102","GO203_23_PTT_2784","GO203_23_PTT_26","1",""
"27","27","GO203_23_PTT_31","GO203_23_PTT_217","1",""
"27","27","GO203_23_PTT_194","GO203_23_PTT_32","1",""
"27","27","GO203_23_PTT_136","GO203_23_PTT_36","1",""
"27","27","GO203_23_PTT_148","GO203_23_PTT_38","1",""
"27","27","GO203_23_PTT_168","GO203_23_PTT_40","1",""
"27","27","GO203_23_PTT_41","GO203_23_PTT_133","1",""
"102","102","GO203_23_PTT_1660","GO203_23_PTT_42","1",""
"27","27","GO203_23_PTT_43","GO203_23_PTT_167","1",""
"102","102","GO203_23_PTT_272","GO203_23_PTT_44","1",""
"27","27","GO203_23_PTT_180","GO203_23_PTT_46","1",""
"102","102","GO203_23_PTT_1978","GO203_23_PTT_48","1",""
"102","102","GO203_23_PTT_2788","GO203_23_PTT_48","1",""
"27","27","GO203_23_PTT_120","GO203_23_PTT_56","1",""
"27","27","GO203_23_PTT_57","GO203_23_PTT_39","1",""
"27","27","GO203_23_PTT_57","GO203_23_PTT_229","1",""
"27","27","GO203_23_PTT_59","GO203_23_PTT_139","1",""
