from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,246029324602934+642418+0,246029324602934+642277+0,1,
112,112,,,246029324602934+642426+0,246029324602934+642279+0,1,
124,124,,,246029324602934+642614+0,246029324602934+642304+0,1,
124,124,,,246029324602934+643009+0,246029324602934+642304+0,1,
124,124,,,246029324602934+642621+0,246029324602934+642313+1,1,
124,124,,,246029324602934+642638+1,246029324602934+642331+1,1,
124,124,,,246029324602934+642652+1,246029324602934+642365+1,1,
124,124,,,246029324602934+642699+1,246029324602934+642408+1,1,
124,124,,,246029324602934+642716+1,246029324602934+642418+0,1,
124,124,,,246029324602934+642726+0,246029324602934+642426+0,1,
124,124,,,246029324602934+642938+0,246029324602934+642426+0,1,
124,124,,,246029324602934+642740+0,246029324602934+642439+0,1,
124,124,,,246029324602934+642943+0,246029324602934+642439+0,1,
124,124,,,246029324602934+642750+0,246029324602934+642440+0,1,
124,124,,,246029324602934+642754+0,246029324602934+642442+0,1,
124,124,,,246029324602934+642950+0,246029324602934+642442+0,1,
124,124,,,246029324602934+642761+0,246029324602934+642446+0,1,
124,124,,,246029324602934+642769+0,246029324602934+642448+0,1,
124,124,,,246029324602934+642957+0,246029324602934+642448+0,1,
124,124,,,246029324602934+642777+0,246029324602934+642449+0,1,
124,124,,,246029324602934+642782+0,246029324602934+642454+0,1,
124,124,,,246029324602934+642788+0,246029324602934+642461+0,1,
124,124,,,246029324602934+642796+0,246029324602934+642468+0,1,
124,124,,,246029324602934+642965+0,246029324602934+642468+0,1,
124,124,,,246029324602934+642801+0,246029324602934+642470+0,1,
124,124,,,246029324602934+642805+0,246029324602934+642472+0,1,
124,124,,,246029324602934+642969+0,246029324602934+642472+0,1,
124,124,,,246029324602934+642811+0,246029324602934+642478+0,1,
124,124,,,246029324602934+642817+0,246029324602934+642484+0,1,
124,124,,,246029324602934+642975+0,246029324602934+642484+0,1,
124,124,,,246029324602934+642824+0,246029324602934+642486+0,1,
124,124,,,246029324602934+642833+0,246029324602934+642494+0,1,
124,124,,,246029324602934+642846+0,246029324602934+642497+0,1,
124,124,,,246029324602934+642851+0,246029324602934+642500+0,1,
124,124,,,246029324602934+642860+0,246029324602934+642507+0,1,
124,124,,,246029324602934+642871+0,246029324602934+642521+0,1,
124,124,,,246029324602934+642989+0,246029324602934+642521+0,1,
124,124,,,246029324602934+643061+0,246029324602934+642528+0,1,
124,124,,,246029324602934+642881+0,246029324602934+642532+0,1,
124,124,,,246029324602934+642995+0,246029324602934+642532+0,1,
124,124,,,246029324602934+642892+0,246029324602934+642547+0,1,
124,124,,,246029324602934+643000+0,246029324602934+642547+0,1,
124,124,,,246029324602934+642897+0,246029324602934+642549+0,1,
124,124,,,246029324602934+643004+0,246029324602934+642549+0,1,
124,124,,,246029324602934+642349+0,246029324602934+642574+0,1,
131,131,,,246029324602934+643022+1,246029324602934+642590+1,1,
124,124,,,246029324602934+642943+0,246029324602934+642596+0,1,
